link,text,name,username,date,comments,retweets,quotes,likes
https://twitter.com/orndz31/status/1740570022396006765#m,Sauf que les médecins algériens arrivent aux nombre d’environ 1500 par an en France et qu’ils sont assez rapidement régularisés. Tu peux doubler le % si tu rajoutes Tunisie Maroc Liban Syrie. Et tu peux encore doubler voir + si tu rajoutes les franco maghrébins,whrnsaem,@orndz31,"Dec 29, 2023 · 3:06 AM UTC",0,0,0,0
https://twitter.com/rahimtay/status/1740569910063874523#m,Découvre la vidéo de Juliette G. ! #TikTok https://vm.tiktok.com/ZGeYYtoGG/,AMAZIGH DU MAROC,@rahimtay,"Dec 29, 2023 · 3:06 AM UTC",0,0,0,0
https://twitter.com/MITOMAFR/status/1740320057136472257#m,"MASTERCLASS  Du Maroc 🇲🇦 niveau Digital pour faire cette Annonce !  Un sans-faute  Entre hymne et les villes   .    Après l’Iraq , c’est de toute beauté",AyashBHA 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇯🇵🇮🇪🇹🇳,@MITOMAFR,"Dec 28, 2023 · 10:33 AM UTC",18,195,27,1175
https://twitter.com/Tisk00_/status/1740569656430309633#m,Ils sont plus développer que le maroc la Côte d’Ivoire et 95% des pays sur terre ahaha,tisko👿,@Tisk00_,"Dec 29, 2023 · 3:05 AM UTC",0,0,1,0
https://twitter.com/mohamed14602362/status/1740569521218576447#m,match France Irlande maroc espagne ou Égypte y a un drapeau qui vient des tribunes 🇩🇿mais pitié il squatte même la mairieles devant le maire dépité😪même belmadi et mahrez ils ont honte,kaizer77,@mohamed14602362,"Dec 29, 2023 · 3:04 AM UTC",0,0,0,0
https://twitter.com/orndz31/status/1740569483935195239#m,"Plus de 50% des médecins sont sémites. Algerie Liban Maroc Tunisie syrie et ça fait plus de 50%. Et on parle d’étrangers, on parle même pas des franco maghrébins très présent aussi.",whrnsaem,@orndz31,"Dec 29, 2023 · 3:04 AM UTC",0,0,0,0
https://twitter.com/algeriien93/status/1740421564720685283#m,C’est une dingueri de porter un maillot du Maroc alors que t’es un khel,𝐖𝐢𝐬𝐬 ⵣ,@algeriien93,"Dec 28, 2023 · 5:16 PM UTC",6,10,68,121
https://twitter.com/anime_edit_fan5/status/1740569396064498106#m,Comment j'aime le maroc depuis qu'il ont sauvé le foot en quart contre le portugal,André Emmanuel Niangoran,@anime_edit_fan5,"Dec 29, 2023 · 3:04 AM UTC",0,0,0,0
https://twitter.com/MAROCKs/status/1740569369816727610#m,今どきの29歳って、僕の感覚では23～24に見えるよ。  そいえば昨日の #NHK_radio の #ふんわり で、伍代夏子さん62歳、六角精児さん61歳、キム兄60歳、黒川先生65歳ってやってたけれど、僕の感覚ではみんな50代に見えるよ。#Nらじ #NHKジャーナル #マイあさ https://www3.nhk.or.jp/news/html/20231229/k10014302941000.html,Nicholai MARO,@MAROCKs,"Dec 29, 2023 · 3:04 AM UTC",0,0,0,0
https://twitter.com/hollybynight11/status/1740569278821314661#m,"• L’Algérie vianqueur de la CAN = un vainqueur parmis tant d’autres.  • Le Maroc 1/2 finaliste de CDM en ayant battu/rivaliser/éliminé l’Espagne, le Portugal, la France, la Croatie x2 et la Belgique (en ayant pour seul adversaire faible le Canada) restera dans l’histoire.",🇲🇨 🇫🇷 chris 🇲🇨 🇫🇷 Monaco 🇲🇨🇫🇷 ,@hollybynight11,"Dec 29, 2023 · 3:03 AM UTC",1,0,0,0
https://twitter.com/KardoliSam/status/1740568608814903509#m,Je pense qu'il y a un énorme biais cognitif dans ta tête...  Tu melanges 2 choses et tu en fais une conclusion erronée.   Le monopole c'est l'essence même du communisme pas du libéralisme  Le Maroc est inscrit dans le pragmatisme pas dans les théories.   De l'argent imaginaire,Sam Kardoli,@KardoliSam,"Dec 29, 2023 · 3:01 AM UTC",1,0,0,0
https://twitter.com/Kamaresque/status/1740364108107772275#m,Le Maroc - Algérie en 1/2 finale de la CAN,’,@Kamaresque,"Dec 28, 2023 · 1:28 PM UTC",7,108,9,333
https://twitter.com/brochard6657/status/1740568401037463666#m,Deux jeunes filles journalistes ont fait une enquête sur ce sujet elles ont été menacées de mort je les ai rencontré au Maroc elle dispose des vidéos sur ce fameux mensonge et maintenant elle se cache ça fait des années que les Palestiniens vous Berne faites une enquête,GERARD BORCHARD,@brochard6657,"Dec 29, 2023 · 3:00 AM UTC",0,0,0,0
https://twitter.com/ArabNewsfr/status/1740568321571934629#m,"Le #Maroc se trouve dans le groupe F avec la RDC, la Zambie et la Tanzanie  https://arab.news/rjfj6",Arab News French,@ArabNewsfr,"Dec 29, 2023 · 3:00 AM UTC",0,0,0,0
https://twitter.com/mauritaniefoot/status/1740413935055229099#m,"La présentation exceptionnelle de la liste du Maroc 🇲🇦, c’est de l’Art ! #afconwithlassana #TotalEnergiesAFCON2023 #CAN2023",Lassana Camara,@mauritaniefoot,"Dec 28, 2023 · 4:46 PM UTC",1,58,4,498
https://twitter.com/KoudjrakoB/status/1739970239209857034#m,"l'Algérie n'est pas le seul pays maghrébins à combattre, il y a le Maroc aussi.",Blaise Koudjrako,@KoudjrakoB,"Dec 27, 2023 · 11:23 AM UTC",15,8,0,22
https://twitter.com/BRaptors65360/status/1740567722675540181#m,Face au Maroc ou face à l'Uruguay fallait faire ça,Sky in The Limit,@BRaptors65360,"Dec 29, 2023 · 2:57 AM UTC",0,0,0,0
https://twitter.com/VanKlaus101/status/1740567512784462261#m,Le minaret de kairouan est plus large a sa base cest pas le meme réctangle symétrique et élancé.  mais c'est pas important car au final c'est des influences qui ont fait le tour de la meidterannée comme je l'ai dis et qui ont atteri au maroc.,VanKlaus,@VanKlaus101,"Dec 29, 2023 · 2:56 AM UTC",1,0,0,0
https://twitter.com/hatimbmz/status/1740567401769717769#m,On prie pour que le Maroc éteigne toutes les équipes,.,@hatimbmz,"Dec 29, 2023 · 2:56 AM UTC",1,0,0,0
https://twitter.com/KardoliSam/status/1740566742160769207#m,Logique le Maroc croyait que vous luttiez contre les terroristes   Il ne pensait pas que c'était une manœuvre pour contraindre le Mali,Sam Kardoli,@KardoliSam,"Dec 29, 2023 · 2:53 AM UTC",0,0,0,0
https://twitter.com/jyasontatum/status/1740566497947463709#m,hit the glass lil bro,maroc,@jyasontatum,"Dec 29, 2023 · 2:52 AM UTC",0,0,0,0
https://twitter.com/Version2D/status/1740566418117287972#m,Les relations sociales pour une femme seule avec des hommes non-muzz n'ont rien à voir ! Une touriste occidentale seule ne pourra jamais voyager tranquille au Maroc comme au Cambodge😂🤣,DIVERSITOMETRE,@Version2D,"Dec 29, 2023 · 2:52 AM UTC",0,0,0,0
https://twitter.com/gurlnouare/status/1740508479461499008#m,Ils sont même déjà au Maroc. Je les suis graaaave 😆✊🏾,🤖🧠💖,@gurlnouare,"Dec 28, 2023 · 11:02 PM UTC",0,2,0,2
https://twitter.com/Diaby_lv1/status/1740513605714616374#m,J’ai le maillot blanc du Maroc 2022 alors que j’suis malien,Diaby ⚔️,@Diaby_lv1,"Dec 28, 2023 · 11:22 PM UTC",4,3,1,34
https://twitter.com/KardoliSam/status/1740566173035663714#m,Non ils ont raison   Vous faites la même chose contre le Maroc depuis 1963,Sam Kardoli,@KardoliSam,"Dec 29, 2023 · 2:51 AM UTC",0,0,0,0
